feature
ret_1
roll_mean_5
roll_std_5
roll_mean_10
roll_std_10
roll_mean_20
roll_std_20
roll_mean_50
roll_std_50
roll_mean_100
roll_std_100
mom_2
mom_5
mom_10
mom_24
rsi_14
macd
macd_signal
macd_hist
atr_14
atr_d1_14
